index,element,disp_angstrom
0,Si,0.111162
1,Si,0.111168
2,H,0.212837
3,H,0.212833
4,H,0.189637
5,H,0.189640
6,H,0.168623
7,H,0.168619
8,H,0.153035
9,H,0.153033
10,H,0.070787
11,H,0.070788
12,H,0.165029
13,H,0.165032
14,H,0.153621
15,H,0.153622
16,H,0.175887
17,H,0.175886
18,H,0.136207
19,H,0.136205
20,H,0.150369
21,H,0.150370
22,H,0.192782
23,H,0.192784
24,H,0.098981
25,H,0.098981
26,H,0.196017
27,H,0.196014
28,H,0.094759
29,H,0.094757
30,H,0.160298
31,H,0.160324
32,H,0.168603
33,H,0.168601
34,H,0.206876
35,H,0.206916
36,H,7.778399
37,H,7.778505
38,H,0.130154
39,H,0.130152
40,H,0.148742
41,H,0.148742
42,H,0.087904
43,H,0.087907
44,H,0.096043
45,H,0.096036
46,H,0.127254
47,H,0.127261
48,H,0.178723
49,H,0.178725
50,C,0.056074
51,C,0.056075
52,C,0.050688
53,C,0.050683
54,C,0.080962
55,C,0.080962
56,C,0.057915
57,C,0.057914
58,C,0.061143
59,C,0.061142
60,C,0.040836
61,C,0.040835
62,C,0.051124
63,C,0.051125
64,C,0.061849
65,C,0.061842
66,C,0.057759
67,C,0.057748
68,C,0.049045
69,C,0.049037
70,C,0.048087
71,C,0.048087
72,C,0.057356
73,C,0.057294
74,C,0.095599
75,C,0.095598
76,C,0.064947
77,C,0.064948
78,C,0.045924
79,C,0.045965
80,C,0.100357
81,C,0.100353
82,C,0.054246
83,C,0.054239
84,C,0.066458
85,C,0.066457
86,C,0.054605
87,C,0.054604
88,C,0.116357
89,C,0.116356
90,C,0.022138
91,C,0.022132
92,C,0.029282
93,C,0.029282
94,C,0.031579
95,C,0.031583
96,C,0.076347
97,C,0.076333
98,C,0.067095
99,C,0.067305
100,C,0.018498
101,C,0.018509
102,C,0.025324
103,C,0.025313
104,C,0.030952
105,C,0.030950
106,C,0.052899
107,C,0.052926
108,C,0.062122
109,C,0.062157
110,C,0.018169
111,C,0.018089
112,C,0.064278
113,C,0.064282
114,S,0.054025
115,S,0.054032
116,S,0.127842
117,S,0.127833
118,I,0.201561
119,I,0.201558
120,I,0.157472
121,I,0.157477
122,O,0.047431
123,O,0.047431
124,O,0.060305
125,O,0.060305
