feature,importance
frac_Hf,0.31544352
frac_Zr,0.14648236
frac_Cl,0.11372278
frac_Yb,0.06164397
peak_3_tt,0.042894755
frac_F,0.028162554
frac_I,0.020605944
frac_Hg,0.016373463
frac_O,0.015126871
frac_C,0.013814611
peak_1_tt,0.011711097
frac_Dy,0.011679778
peak_4_tt,0.0116165355
frac_Br,0.011474732
frac_U,0.0112124635
frac_N,0.010391263
frac_Gd,0.009008104
frac_S,0.00854423
peak_0_tt,0.007967585
frac_V,0.0075979466
peak_0_int,0.0069704847
peak_2_tt,0.006051663
frac_P,0.00577581
frac_Cu,0.0055704643
frac_Y,0.005210852
frac_As,0.0050833067
frac_Si,0.004829318
frac_Cr,0.004527654
frac_H,0.00451747
peak_3_int,0.004421096
frac_Se,0.0040546525
xrd_kurt_intensity,0.003973926
peak_9_tt,0.003653845
xrd_std_intensity,0.0035362586
peak_8_tt,0.0035042986
frac_Mn,0.0034567295
xrd_mean_intensity,0.0029356878
frac_Pb,0.0027342944
peak_8_int,0.002402803
frac_K,0.0023382336
frac_Ca,0.0023203273
frac_Np,0.002231606
peak_1_int,0.0021545098
frac_Sn,0.0019727764
frac_B,0.001969434
peak_5_tt,0.0018373377
xrd_skew_intensity,0.0017873837
is_stable,0.0017382851
frac_Cd,0.001672749
peak_7_tt,0.0014543452
frac_Re,0.0014201909
frac_Zn,0.001299435
frac_Sb,0.0012682327
peak_6_tt,0.0012638005
peak_5_int,0.0012435478
peak_2_int,0.0011830309
frac_Ru,0.0011461499
peak_7_int,0.00097390276
peak_4_int,0.0009006678
peak_6_int,0.00084216
frac_Pu,0.0007963491
frac_Ti,0.0006735605
frac_Na,0.0006409015
frac_Li,0.0005821631
frac_Mg,0.00055933004
frac_Ge,0.0005314193
frac_Os,0.00052247976
frac_Nb,0.00041015542
frac_Cs,0.00040168918
frac_Co,0.00039989097
frac_Mo,0.00039929737
frac_Fe,0.00031655803
frac_Tl,0.00027960347
frac_Au,0.00026358635
frac_Sc,0.00020880764
frac_Rb,0.00019304545
frac_Te,0.0001527405
frac_Sm,0.0001272571
frac_Ce,0.00012183364
frac_Al,0.00010517306
frac_Ag,9.809797e-05
frac_In,9.374688e-05
frac_Ba,7.958433e-05
frac_Sr,5.8456702e-05
frac_Pt,5.7615136e-05
frac_Eu,4.9730243e-05
frac_Ni,4.2424388e-05
frac_La,4.1007283e-05
frac_Nd,3.496082e-05
frac_Tb,2.5131896e-05
frac_Rh,1.7725617e-05
frac_W,1.0453106e-05
frac_Tm,1.6528136e-06
frac_Pr,4.185816e-07
frac_Th,0.0
frac_Be,0.0
frac_Pd,0.0
frac_Er,0.0
frac_Bi,0.0
frac_Lu,0.0
peak_9_int,0.0
